text,label
"ALERT: Facebook/Meta internship open. Zero experience needed. Send Rs.6500 for US company registration. Monthly salary $2000. Apply immediately!",1
"Congratulations! Adobe selected you from LinkedIn. Pay Rs.3800 training fee through NEFT. No interview required. Start earning from day 1!",1
"LAST 5 HOURS! Swiggy internship with bike provided. One-time payment Rs.4500 for uniform and ID. Earn Rs.30000/month delivering food!",1
"Tesla India internship! Work with Elon Musk team. Investment needed: Rs.9500 for international processing. Get US work permit. Limited seats!",1
"Your friend referred you for Zomato internship. Pay Rs.2800 referral bonus to him + Rs.2000 to company. Guaranteed selection, no interview!",1
"BREAKING NEWS: Ministry of IT Government internship. Send Rs.1200 DD in favor of 'IT Department'. Get government job certificate. Apply now!",1
"Netflix content writer internship! Watch movies, earn Rs.50000/month. One-time fee Rs.5500 for platform access. Easy money from home!",1
"PayTM urgent hiring! Become payment collection agent. Pay Rs.3300 for POS machine deposit. Earn Rs.500 per transaction. Unlimited earnings!",1
"BMW India internship - Showroom sales. Send Rs.6000 for uniform and training kit. Salary Rs.45000 + incentives. Walk-in not required!",1
"Urgent from Microsoft CEO! Special internship for Indian students. Pay $50 (Rs.4200) registration via Western Union. Fly to USA next month!",1
"WhatsApp internship official! Become WhatsApp moderator. Pay Rs.2500 for official blue tick verification. Earn Rs.20000/month part-time!",1
"YouTube partner program internship! Get 1 million subscribers guaranteed. Pay Rs.7500 for algorithm boost. Monetize immediately!",1
"Ola/Uber driver internship! Get free cab (pay Rs.8000 security). Earn Rs.40000/month. Money back guarantee. Join today, start tomorrow!",1
"Instagram influencer internship! Buy 100K followers for Rs.4500. Become celebrity overnight. Brands will pay you lakhs for promotion!",1
"SpaceX India branch opening! Internship with space program. Pay Rs.12000 for ISRO clearance certificate. Only 10 seats available worldwide!",1
"Congratulations! Unknown foreign company selected you. Pay Rs.3500 via Bitcoin for international processing. Work from Goa office (doesn't exist)!",1
"ICICI Bank internship - Count cash at home! Pay Rs.5000 for currency counting machine. Bank will transfer Rs.1 lakh daily to count!",1
"Railway internship by Indian Railways! Pay Rs.2400 for uniform and railway pass. Become ticket checker. Government job guarantee!",1
"Airbnb property manager internship! Manage luxury hotels online. Pay Rs.6800 for property listing access. Earn $1000/month in commission!",1
"Myntra fashion internship! Get free clothes worth Rs.50000. Just pay Rs.4500 shipping and handling. Become fashion model instantly!",1
"Bitcoin trading internship! Learn from crypto experts. Pay Rs.15000 for trading bot software. Double your money in 7 days guaranteed!",1
"UN internship opportunity! Work for United Nations from home. Pay Rs.8500 for international clearance. Salary in USD, tax-free!",1
"ISRO scientist internship! Launch satellites from your computer. Pay Rs.7200 for NASA-level software access. No science degree needed!",1
"Bollywood casting internship! Meet Shahrukh Khan personally. Pay Rs.9500 portfolio fee. Become actor in next blockbuster movie!",1
"FIFA World Cup internship! Go to Qatar free (pay Rs.25000 visa fee to personal account). Meet Ronaldo and Messi. Limited to 5 people!",1
"IIT Bombay research internship! No entrance exam. Pay Rs.6500 for research grant application. Get IIT certificate guaranteed!",1
"NASA India internship from home! Design rockets on laptop. Pay Rs.11000 for space simulation software. Become astronaut online!",1
"Your CV selected by unknown HR! Congrats on MNC internship. Send Rs.3900 + Aadhaar card copy + bank details to random Gmail ID immediately!",1
"FINAL WARNING! Your internship offer expires in 30 minutes. Pay Rs.4700 NOW via phonepe or lose this golden opportunity forever!",1
"100% work from home guaranteed! Genuine company (no website). Pay Rs.5200 to manager's personal account. No documents needed, trust us!",1
"Foreign company paying in dollars! Convert $500 to rupees daily. Pay Rs.8900 for FEMA clearance certificate from RBI (fake)!",1
"Data entry internship! Type captcha, earn Rs.1000/hour. Pay Rs.3600 software activation fee. Work only 2 hours daily, become rich!",1
"Online survey internship! Fill Google forms, get Rs.500 each. Pay Rs.2900 for premium survey access. Earn Rs.50000/month easily!",1
"Email reading internship! Read 10 emails daily, earn Rs.30000/month. Pay Rs.4100 for email database access. No skills required!",1
"Copy-paste internship! Copy from Word to Excel. Earn Rs.25/page. Pay Rs.3700 for project files. Work 1 hour, earn Rs.10000!",1
"Mobile app testing internship! Test WhatsApp, get Rs.100/test. Pay Rs.5100 for tester certification. Make lakhs while chatting!",1
"Facebook like internship! Like posts, earn Rs.50 each. Pay Rs.2600 for account activation. Get paid for scrolling social media!",1
"Telegram admin internship! Manage channels from phone. Pay Rs.3400 for admin rights purchase. Salary Rs.40000 for part-time work!",1
"Instagram reels internship! Make 1 reel daily, earn Rs.5000. Pay Rs.4800 for creator fund access. Go viral guaranteed, fame assured!",1
"TikTok (banned) revival internship! Secret Indian version launching. Pay Rs.6700 early access fee. Become first influencer, earn crores!",1
"Stock market internship! We give you tips, you earn crores. Pay Rs.9800 for premium membership. 1000% returns in 1 month!",1
"Real estate internship! Sell luxury flats online. Pay Rs.7400 for property catalog access. Earn Rs.1 lakh commission per flat!",1
"Insurance agent internship! Sell policies via WhatsApp. Pay Rs.4300 for IRDA fake license. Commission unlimited, work unlimited!",1
"Medical coding internship! Code hospital bills from home. Pay Rs.5900 for software and training. No medical knowledge needed!",1
"Legal documentation internship! Type court documents remotely. Pay Rs.3800 for legal template access. Earn like a lawyer, no degree!",1
"Translation internship! Translate English to Hindi using Google. Pay Rs.2700 for translator certificate. Earn Rs.50000/month!",1
"Voice-over artist internship! Record audiobooks at home. Pay Rs.6200 for studio setup (just a microphone). Become RJ instantly!",1
"Gaming tester internship! Play PUBG, get paid Rs.1000/hour. Pay Rs.8300 for gaming license. Dream job for gamers, apply now!",1
"Virtual assistant internship! Answer emails for US clients. Pay Rs.5600 for US phone number. Earn in dollars sitting in India!",1
"Homework solving internship! Solve school homework online. Pay Rs.3100 for question bank access. Easy money helping students cheat!",1
"App downloading internship! Download 10 apps daily, earn Rs.500. Pay Rs.2800 for app store premium. Make money by clicking install!",1
