text,label
"Internship roles available in Data Science, Product Management, and Content Writing. Each role has specific eligibility criteria. Check our careers page for complete details.",0
"Your application for the Finance Intern position has been received. Our recruitment team will review it and contact you if your profile matches our requirements.",0
"The internship includes hands-on training, weekly mentorship sessions, and certificate upon completion. Apply through our official portal before the deadline.",0
"Interview process: Phone screening (30 min) → Technical round (1 hour) → Manager round (45 min) → HR discussion (30 min). Entire process takes 2-3 weeks.",0
"This is a work-from-home internship with flexible hours. Stipend provided based on project completion. All details and tasks will be assigned via our project management tool.",0
"Please bring these documents for verification if selected: Government ID, Educational certificates, Address proof. No fees required for document verification.",0
"Internship benefits: Monthly stipend, Skill development workshops, Networking opportunities, Letter of recommendation, Possible full-time conversion based on performance.",0
"We are a registered company with GST number and CIN. You can verify our credentials on the Ministry of Corporate Affairs website before applying.",0
"Your technical assessment has been evaluated. You scored 78/100. The next round is a behavioral interview scheduled for Thursday. Calendar invite will be sent shortly.",0
"Reminder: Application deadline is this Friday. Incomplete applications will not be considered. Please ensure all sections of the form are filled correctly.",0
"Our company has been recognized as a Great Place to Work. We offer structured internship programs across multiple domains. Visit LinkedIn for employee testimonials.",0
"For the Content Writing Internship: Please submit 3 writing samples along with your resume. Selected candidates will be given a paid assignment as part of evaluation.",0
"The internship agreement will include: Duration, Stipend amount, Working hours, Reporting structure, and Confidentiality terms. Legal review is standard before signing.",0
"We follow equal opportunity hiring. Selection is merit-based regardless of gender, caste, religion, or background. Contact diversity@company.com for any concerns.",0
"Your profile matches our requirements for the Graphic Design Internship. Please complete this design task (link attached) and submit within 3 days.",0
"Interview feedback: Strong technical skills, good communication. We'd like to proceed with your candidacy. HR will discuss stipend and start date in the next call.",0
"This internship is part of our campus recruitment drive at IIT Delhi. Students from all branches can apply. Selection will be done through on-campus interviews.",0
"Safety notice: If you receive any communication asking for payment or personal financial details claiming to be from our company, please report it to security@company.com immediately.",0
"The role involves working closely with senior team members on live projects. Learning outcomes include industry exposure, technical skills, and professional development.",0
"Internship FAQs are available on our website. Common questions about stipend, duration, work timings, and responsibilities are answered there. Feel free to reach out for clarifications.",0
"Your internship application reference number is #INT-2024-5678. Use this for all future communications. Status updates will be sent to your registered email address.",0
"We received 500+ applications for this role. Only shortlisted candidates will be contacted. If you don't hear from us within 3 weeks, please consider your application unsuccessful.",0
"Pre-joining formalities include background verification, reference checks, and document submission. These are standard procedures for all new joiners including interns.",0
"The internship project will be evaluated by your mentor and department head. Final presentation is mandatory. Certificate and recommendation letter are given based on performance.",0
"We partner with colleges and offer internship credits. If you need internship certification for academic requirements, please inform us at the start of the program.",0
"Dress code: Business casuals for office days. Remote work days are flexible. The work culture is collaborative and we encourage interns to ask questions and learn.",0
"Your interview is confirmed for March 20th at 11 AM. It will be conducted via Zoom. Meeting link and interviewer details will be sent 1 day prior via email.",0
"Congratulations! You have been selected for the Product Management Internship. Offer letter attached. Please review, sign, and return by email within 5 days.",0
"Internship start date: April 1st. Orientation session on Day 1 will cover company policies, tools, team introductions, and your project scope. Welcome aboard!",0
"For international applicants: Please ensure you have the necessary work authorization or student visa. We cannot sponsor visas for internship positions.",0
"Performance review happens at the end of month 1, month 2, and final month. Feedback will be shared transparently. Top performers may receive extended offers.",0
"Tools and access: You'll receive company email, project management tool access, and necessary software licenses on Day 1. IT team will assist with setup.",0
"Monthly stipend will be credited to your bank account by 5th of every month. Please submit your bank details through our secure HR portal after joining.",0
"Attendance policy: Interns are expected to maintain 90% attendance. Prior approval required for leaves. Work hours: 10 AM to 6 PM with 1-hour lunch break.",0
"We offer mentorship from industry experts, weekly learning sessions, and access to online courses. Make the most of your internship by actively participating.",0
"Exit formalities include project handover, asset return (if any), and exit interview. Internship completion certificate and experience letter will be provided within 2 weeks.",0
"Connect with our intern community on Slack. Past and current interns share experiences, tips, and support. Great way to network and learn from peers.",0
"Questions about the role? Join our open house session on Friday at 4 PM. Current team members will answer your queries. Register via the careers portal.",0
"Your application for Summer Internship 2024 has been received. Due to high volume, please allow 2-3 weeks for initial screening. We appreciate your patience.",0
"The role requires proficiency in Python and SQL. If selected, you'll work on data pipeline optimization projects. Prior experience with cloud platforms is a plus.",0
